row,zone_name,hour,parkings_booked
1181,32-1,5,6
1182,32-1,6,7
1183,32-1,7,13
1184,32-1,8,17
1185,32-1,9,23
1186,32-1,10,23
1187,32-1,11,19
1188,32-1,12,17
1189,32-1,13,14
1190,32-1,14,16
1191,32-1,15,16
1192,32-1,16,15
1193,32-1,17,14
1194,32-1,18,17
1195,32-1,19,17
1196,32-1,20,17
1197,32-1,21,16
1198,32-1,22,6
1199,32-1,23,6
1200,32-2,0,6
1201,32-2,1,8
1202,32-2,2,8
1203,32-2,3,8
1204,32-2,4,8
1205,32-2,5,8
1206,32-2,6,9
1207,32-2,7,13
1208,32-2,8,17
1209,32-2,9,29
1210,32-2,10,34
1211,32-2,11,34
1212,32-2,12,27
1213,32-2,13,21
1214,32-2,14,22
1215,32-2,15,18
1216,32-2,16,13
1217,32-2,17,13
1218,32-2,18,19
1219,32-2,19,24
1220,32-2,20,25
1221,32-2,21,21
1222,32-2,22,8
1223,32-2,23,8
1224,32-3,0,4
1225,32-3,1,5
1226,32-3,2,5
1227,32-3,3,5
1228,32-3,4,5
1229,32-3,5,5
1230,32-3,6,5
1231,32-3,7,5
1232,32-3,8,0
1233,32-3,9,4
1234,32-3,10,10
1235,32-3,11,12
1236,32-3,12,9
1237,32-3,13,8
1238,32-3,14,7
1239,32-3,15,6
1240,32-3,16,8
1241,32-3,17,11
1242,32-3,18,12
1243,32-3,19,13
1244,32-3,20,13
1245,32-3,21,11
1246,32-3,22,5
1247,32-3,23,5
1248,33-1,0,0
1249,33-1,1,0
1250,33-1,2,0
1251,33-1,3,0
1252,33-1,4,0
1253,33-1,5,0
1254,33-1,6,0
1255,33-1,7,0
1256,33-1,8,0
1257,33-1,9,2
1258,33-1,10,3
1259,33-1,11,3
1260,33-1,12,2
1261,33-1,13,2
1262,33-1,14,1
1263,33-1,15,1
1264,33-1,16,1
1265,33-1,17,1
1266,33-1,18,0
1267,33-1,19,1
1268,33-1,20,1
1269,33-1,21,1
1270,33-1,22,0
1271,33-1,23,0
1272,33-2,0,1
1273,33-2,1,1
1274,33-2,2,1
1275,33-2,3,1
1276,33-2,4,1
1277,33-2,5,1
1278,33-2,6,1
1279,33-2,7,2
1280,33-2,8,3
1281,33-2,9,2
1282,33-2,10,3
1283,33-2,11,4
1284,33-2,12,3
1285,33-2,13,2
1286,33-2,14,1
1287,33-2,15,1
1288,33-2,16,2
1289,33-2,17,2
1290,33-2,18,3
1291,33-2,19,3
1292,33-2,20,4
1293,33-2,21,3
1294,33-2,22,1
1295,33-2,23,1
1296,34-1,0,8
1297,34-1,1,10
1298,34-1,2,10
1299,34-1,3,10
1300,34-1,4,10
1301,34-1,5,10
1302,34-1,6,13
1303,34-1,7,27
1304,34-1,8,37
1305,34-1,9,46
1306,34-1,10,49
1307,34-1,11,43
1308,34-1,12,36
1309,34-1,13,34
1310,34-1,14,31
1311,34-1,15,30
1312,34-1,16,28
1313,34-1,17,28
1314,34-1,18,26
1315,34-1,19,27
1316,34-1,20,28
1317,34-1,21,25
1318,34-1,22,10
1319,34-1,23,10
1320,34-2,0,27
1321,34-2,1,33
1322,34-2,2,33
1323,34-2,3,33
1324,34-2,4,33
1325,34-2,5,33
1326,34-2,6,37
1327,34-2,7,54
1328,34-2,8,60
1329,34-2,9,96
1330,34-2,10,108
1331,34-2,11,99
1332,34-2,12,85
1333,34-2,13,64
1334,34-2,14,44
1335,34-2,15,33
1336,34-2,16,27
1337,34-2,17,26
1338,34-2,18,30
1339,34-2,19,38
1340,34-2,20,54
1341,34-2,21,64
1342,34-2,22,33
1343,34-2,23,33
1344,34-3,0,5
1345,34-3,1,6
1346,34-3,2,6
1347,34-3,3,6
1348,34-3,4,6
1349,34-3,5,6
1350,34-3,6,7
1351,34-3,7,8
1352,34-3,8,6
1353,34-3,9,8
1354,34-3,10,10
1355,34-3,11,10
1356,34-3,12,9
1357,34-3,13,7
1358,34-3,14,6
1359,34-3,15,6
1360,34-3,16,4
1361,34-3,17,5
1362,34-3,18,7
1363,34-3,19,11
1364,34-3,20,13
1365,34-3,21,13
1366,34-3,22,6
1367,34-3,23,6
1368,34-4,0,0
1369,34-4,1,0
1370,34-4,2,0
1371,34-4,3,0
1372,34-4,4,0
1373,34-4,5,0
1374,34-4,6,0
1375,34-4,7,0
1376,34-4,8,0
1377,34-4,9,0
1378,34-4,10,0
1379,34-4,11,0
1380,34-4,12,0
1381,34-4,13,0
1382,34-4,14,1
1383,34-4,15,1
1384,34-4,16,0
1385,34-4,17,0
1386,34-4,18,0
1387,34-4,19,0
1388,34-4,20,0
1389,34-4,21,0
1390,34-4,22,0
1391,34-4,23,0
1392,35-1,0,2
1393,35-1,1,1
1394,35-1,2,0
1395,35-1,3,0
1396,35-1,4,0
1397,35-1,5,0
1398,35-1,6,0
1399,35-1,7,2
1400,35-1,8,5
1401,35-1,9,6
1402,35-1,10,7
1403,35-1,11,7
1404,35-1,12,6
1405,35-1,13,6
1406,35-1,14,5
1407,35-1,15,4
1408,35-1,16,4
1409,35-1,17,4
1410,35-1,18,3
1411,35-1,19,3
1412,35-1,20,4
1413,35-1,21,4
1414,35-1,22,5
1415,35-1,23,5
1416,35-2,0,3
1417,35-2,1,1
1418,35-2,2,0
1419,35-2,3,0
1420,35-2,4,0
1421,35-2,5,0
1422,35-2,6,0
1423,35-2,7,1
1424,35-2,8,5
1425,35-2,9,9
1426,35-2,10,11
1427,35-2,11,13
1428,35-2,12,10
1429,35-2,13,6
1430,35-2,14,3
1431,35-2,15,2
1432,35-2,16,2
1433,35-2,17,1
1434,35-2,18,3
1435,35-2,19,5
1436,35-2,20,10
1437,35-2,21,16
1438,35-2,22,19
1439,35-2,23,13
1440,36-0,0,8
1441,36-0,1,9
1442,36-0,2,9
1443,36-0,3,9
1444,36-0,4,9
1445,36-0,5,9
1446,36-0,6,15
1447,36-0,7,25
1448,36-0,8,33
1449,36-0,9,44
1450,36-0,10,51
1451,36-0,11,50
1452,36-0,12,45
1453,36-0,13,38
1454,36-0,14,33
1455,36-0,15,30
1456,36-0,16,24
1457,36-0,17,20
1458,36-0,18,23
1459,36-0,19,25
1460,36-0,20,21
1461,36-0,21,10
1462,36-0,22,9
1463,36-0,23,9
1464,36-1,0,8
1465,36-1,1,10
1466,36-1,2,10
1467,36-1,3,10
1468,36-1,4,10
1469,36-1,5,10
1470,36-1,6,16
1471,36-1,7,28
1472,36-1,8,41
1473,36-1,9,49
1474,36-1,10,61
1475,36-1,11,62
1476,36-1,12,58
1477,36-1,13,50
1478,36-1,14,39
1479,36-1,15,35
1480,36-1,16,29
1481,36-1,17,27
1482,36-1,18,25
1483,36-1,19,23
1484,36-1,20,17
1485,36-1,21,10
1486,36-1,22,10
1487,36-1,23,10
1488,36-2,0,1
1489,36-2,1,1
1490,36-2,2,1
1491,36-2,3,1
1492,36-2,4,1
1493,36-2,5,1
1494,36-2,6,1
1495,36-2,7,2
1496,36-2,8,4
1497,36-2,9,7
1498,36-2,10,8
1499,36-2,11,9
1500,36-2,12,7
1501,36-2,13,6
1502,36-2,14,5
1503,36-2,15,4
1504,36-2,16,2
1505,36-2,17,3
1506,36-2,18,3
1507,36-2,19,3
1508,36-2,20,1
1509,36-2,21,1
1510,36-2,22,1
1511,36-2,23,1
1512,36-3,0,0
1513,36-3,1,0
1514,36-3,2,0
1515,36-3,3,0
1516,36-3,4,0
1517,36-3,5,0
1518,36-3,6,3
1519,36-3,7,9
1520,36-3,8,19
1521,36-3,9,21
1522,36-3,10,24
1523,36-3,11,25
1524,36-3,12,19
1525,36-3,13,10
1526,36-3,14,6
1527,36-3,15,5
1528,36-3,16,4
1529,36-3,17,2
1530,36-3,18,3
1531,36-3,19,3
1532,36-3,20,1
1533,36-3,21,0
1534,36-3,22,0
1535,36-3,23,0
1536,36-5,0,0
1537,36-5,1,0
1538,36-5,2,0
1539,36-5,3,0
1540,36-5,4,0
1541,36-5,5,0
1542,36-5,6,0
1543,36-5,7,1
1544,36-5,8,1
1545,36-5,9,1
1546,36-5,10,1
1547,36-5,11,2
1548,36-5,12,2
1549,36-5,13,1
1550,36-5,14,2
1551,36-5,15,2
1552,36-5,16,1
1553,36-5,17,0
1554,36-5,18,0
1555,36-5,19,0
1556,36-5,20,0
1557,36-5,21,0
1558,36-5,22,0
1559,36-5,23,0
1560,37-1,0,1
1561,37-1,1,1
1562,37-1,2,1
1563,37-1,3,1
1564,37-1,4,1
1565,37-1,5,1
1566,37-1,6,2
1567,37-1,7,3
1568,37-1,8,6
1569,37-1,9,8
1570,37-1,10,10
1571,37-1,11,11
1572,37-1,12,8
1573,37-1,13,6
1574,37-1,14,4
1575,37-1,15,3
1576,37-1,16,4
1577,37-1,17,4
1578,37-1,18,3
1579,37-1,19,5
1580,37-1,20,6
1581,37-1,21,7
1582,37-1,22,7
1583,37-1,23,4
1584,37-2,0,3
1585,37-2,1,3
1586,37-2,2,3
1587,37-2,3,3
1588,37-2,4,3
1589,37-2,5,4
1590,37-2,6,5
1591,37-2,7,6
1592,37-2,8,10
1593,37-2,9,16
1594,37-2,10,18
1595,37-2,11,17
1596,37-2,12,15
1597,37-2,13,16
1598,37-2,14,15
1599,37-2,15,15
1600,37-2,16,17
1601,37-2,17,18
1602,37-2,18,18
1603,37-2,19,20
1604,37-2,20,28
1605,37-2,21,34
1606,37-2,22,26
1607,37-2,23,13
1608,37-3,0,0
1609,37-3,1,0
1610,37-3,2,0
1611,37-3,3,0
1612,37-3,4,0
1613,37-3,5,0
1614,37-3,6,0
1615,37-3,7,0
1616,37-3,8,0
1617,37-3,9,0
1618,37-3,10,0
1619,37-3,11,0
1620,37-3,12,0
1621,37-3,13,0
1622,37-3,14,1
1623,37-3,15,0
1624,37-3,16,0
1625,37-3,17,1
1626,37-3,18,1
1627,37-3,19,1
1628,37-3,20,1
1629,37-3,21,1
1630,37-3,22,1
1631,37-3,23,1
1632,38-1,0,1
1633,38-1,1,1
1634,38-1,2,1
1635,38-1,3,1
1636,38-1,4,1
1637,38-1,5,2
1638,38-1,6,3
1639,38-1,7,1
1640,38-1,8,4
1641,38-1,9,5
1642,38-1,10,4
1643,38-1,11,6
1644,38-1,12,6
1645,38-1,13,3
1646,38-1,14,3
1647,38-1,15,3
1648,38-1,16,3
1649,38-1,17,3
1650,38-1,18,4
1651,38-1,19,2
1652,38-1,20,3
1653,38-1,21,5
1654,38-1,22,5
1655,38-1,23,1
1656,38-2,0,4
1657,38-2,1,4
1658,38-2,2,4
1659,38-2,3,4
1660,38-2,4,4
1661,38-2,5,5
1662,38-2,6,6
1663,38-2,7,4
1664,38-2,8,7
1665,38-2,9,11
1666,38-2,10,15
1667,38-2,11,18
1668,38-2,12,17
1669,38-2,13,12
1670,38-2,14,11
1671,38-2,15,8
1672,38-2,16,5
1673,38-2,17,6
1674,38-2,18,7
1675,38-2,19,8
1676,38-2,20,8
1677,38-2,21,8
1678,38-2,22,9
1679,38-2,23,4
1680,38-3,0,6
1681,38-3,1,7
1682,38-3,2,7
1683,38-3,3,7
1684,38-3,4,7
1685,38-3,5,8
1686,38-3,6,9
1687,38-3,7,6
1688,38-3,8,10
1689,38-3,9,16
1690,38-3,10,21
1691,38-3,11,20
1692,38-3,12,16
1693,38-3,13,12
1694,38-3,14,11
1695,38-3,15,11
1696,38-3,16,10
1697,38-3,17,12
1698,38-3,18,14
1699,38-3,19,16
1700,38-3,20,16
1701,38-3,21,19
1702,38-3,22,18
1703,38-3,23,7
1704,39-1,0,2
1705,39-1,1,2
1706,39-1,2,2
1707,39-1,3,2
1708,39-1,4,2
1709,39-1,5,2
1710,39-1,6,3
1711,39-1,7,3
1712,39-1,8,3
1713,39-1,9,7
1714,39-1,10,8
1715,39-1,11,9
1716,39-1,12,8
1717,39-1,13,7
1718,39-1,14,7
1719,39-1,15,5
1720,39-1,16,4
1721,39-1,17,5
1722,39-1,18,4
1723,39-1,19,6
1724,39-1,20,6
1725,39-1,21,2
1726,39-1,22,2
1727,39-1,23,2
1728,39-2,0,7
1729,39-2,1,8
1730,39-2,2,8
1731,39-2,3,8
1732,39-2,4,8
1733,39-2,5,8
1734,39-2,6,9
1735,39-2,7,13
1736,39-2,8,15
1737,39-2,9,24
1738,39-2,10,31
1739,39-2,11,29
1740,39-2,12,22
1741,39-2,13,18
1742,39-2,14,16
1743,39-2,15,13
1744,39-2,16,13
1745,39-2,17,15
1746,39-2,18,15
1747,39-2,19,15
1748,39-2,20,15
1749,39-2,21,8
1750,39-2,22,8
1751,39-2,23,8
1752,39-3,0,1
1753,39-3,1,2
1754,39-3,2,2
1755,39-3,3,2
1756,39-3,4,2
1757,39-3,5,2
1758,39-3,6,2
1759,39-3,7,2
1760,39-3,8,1
1761,39-3,9,1
1762,39-3,10,3
1763,39-3,11,4
1764,39-3,12,3
1765,39-3,13,2
1766,39-3,14,1
1767,39-3,15,2
1768,39-3,16,2
1769,39-3,17,2
1770,39-3,18,2
1771,39-3,19,2
1772,39-3,20,3
1773,39-3,21,2
1774,39-3,22,2
1775,39-3,23,2
1776,39-Z,0,0
1777,39-Z,1,0
1778,39-Z,2,0
1779,39-Z,3,0
1780,39-Z,4,0
1781,39-Z,5,0
1782,39-Z,6,0
1783,39-Z,7,0
1784,39-Z,8,0
1785,39-Z,9,0
1786,39-Z,10,0
1787,39-Z,11,0
1788,39-Z,12,0
1789,39-Z,13,0
1790,39-Z,14,0
1791,39-Z,15,1
1792,39-Z,16,1
1793,39-Z,17,1
1794,39-Z,18,0
1795,39-Z,19,0
1796,39-Z,20,0
1797,39-Z,21,0
1798,39-Z,22,0
1799,39-Z,23,0
1800,4-1,0,2
1801,4-1,1,2
1802,4-1,2,2
1803,4-1,3,2
1804,4-1,4,2
1805,4-1,5,2
1806,4-1,6,2
1807,4-1,7,5
1808,4-1,8,11
1809,4-1,9,14
1810,4-1,10,12
1811,4-1,11,12
1812,4-1,12,11
1813,4-1,13,8
1814,4-1,14,5
1815,4-1,15,5
1816,4-1,16,5
1817,4-1,17,5
1818,4-1,18,5
1819,4-1,19,3
1820,4-1,20,5
1821,4-1,21,4
1822,4-1,22,2
1823,4-1,23,2
1824,4-2,0,14
1825,4-2,1,16
1826,4-2,2,16
1827,4-2,3,16
1828,4-2,4,16
1829,4-2,5,16
1830,4-2,6,16
1831,4-2,7,23
1832,4-2,8,36
1833,4-2,9,44
1834,4-2,10,48
1835,4-2,11,44
1836,4-2,12,40
1837,4-2,13,32
1838,4-2,14,30
1839,4-2,15,28
1840,4-2,16,29
1841,4-2,17,28
1842,4-2,18,27
1843,4-2,19,27
1844,4-2,20,28
1845,4-2,21,24
1846,4-2,22,16
1847,4-2,23,16
1848,4-3,0,15
1849,4-3,1,18
1850,4-3,2,18
1851,4-3,3,18
1852,4-3,4,18
1853,4-3,5,18
1854,4-3,6,18
1855,4-3,7,30
1856,4-3,8,49
1857,4-3,9,62
1858,4-3,10,63
1859,4-3,11,61
1860,4-3,12,50
1861,4-3,13,33
1862,4-3,14,29
1863,4-3,15,38
1864,4-3,16,35
1865,4-3,17,28
1866,4-3,18,32
1867,4-3,19,35
1868,4-3,20,39
1869,4-3,21,34
1870,4-3,22,18
1871,4-3,23,18
1872,4-4,0,9
1873,4-4,1,11
1874,4-4,2,11
1875,4-4,3,11
1876,4-4,4,11
1877,4-4,5,11
1878,4-4,6,11
1879,4-4,7,13
1880,4-4,8,18
1881,4-4,9,12
1882,4-4,10,9
1883,4-4,11,9
1884,4-4,12,8
1885,4-4,13,5
1886,4-4,14,5
1887,4-4,15,6
1888,4-4,16,5
1889,4-4,17,6
1890,4-4,18,7
1891,4-4,19,10
1892,4-4,20,17
1893,4-4,21,20
1894,4-4,22,11
1895,4-4,23,11
1896,40-1,0,1
1897,40-1,1,1
1898,40-1,2,1
1899,40-1,3,1
1900,40-1,4,1
1901,40-1,5,1
1902,40-1,6,2
1903,40-1,7,2
1904,40-1,8,2
1905,40-1,9,5
1906,40-1,10,8
1907,40-1,11,7
1908,40-1,12,6
1909,40-1,13,5
1910,40-1,14,4
1911,40-1,15,2
1912,40-1,16,2
1913,40-1,17,3
1914,40-1,18,4
1915,40-1,19,3
1916,40-1,20,2
1917,40-1,21,1
1918,40-1,22,1
1919,40-1,23,1
1920,40-2,0,1
1921,40-2,1,1
1922,40-2,2,1
1923,40-2,3,1
1924,40-2,4,1
1925,40-2,5,1
1926,40-2,6,3
1927,40-2,7,2
1928,40-2,8,0
1929,40-2,9,0
1930,40-2,10,1
1931,40-2,11,1
1932,40-2,12,2
1933,40-2,13,2
1934,40-2,14,1
1935,40-2,15,1
1936,40-2,16,1
1937,40-2,17,2
1938,40-2,18,3
1939,40-2,19,4
1940,40-2,20,4
1941,40-2,21,3
1942,40-2,22,1
1943,40-2,23,1
1944,41-1,0,10
1945,41-1,1,12
1946,41-1,2,12
1947,41-1,3,12
1948,41-1,4,12
1949,41-1,5,12
1950,41-1,6,14
1951,41-1,7,19
1952,41-1,8,26
1953,41-1,9,43
1954,41-1,10,56
1955,41-1,11,57
1956,41-1,12,46
1957,41-1,13,33
1958,41-1,14,26
1959,41-1,15,23
1960,41-1,16,20
1961,41-1,17,12
1962,41-1,18,12
1963,41-1,19,12
1964,41-1,20,12
1965,41-1,21,12
1966,41-1,22,12
1967,41-1,23,12
1968,41-2,0,2
1969,41-2,1,3
1970,41-2,2,3
1971,41-2,3,3
1972,41-2,4,3
1973,41-2,5,3
1974,41-2,6,3
1975,41-2,7,8
1976,41-2,8,16
1977,41-2,9,27
1978,41-2,10,29
1979,41-2,11,24
1980,41-2,12,21
1981,41-2,13,14
1982,41-2,14,9
1983,41-2,15,9
1984,41-2,16,6
1985,41-2,17,3
1986,41-2,18,3
1987,41-2,19,3
1988,41-2,20,3
1989,41-2,21,3
1990,41-2,22,3
1991,41-2,23,3
1992,42-1,0,0
1993,42-1,1,1
1994,42-1,2,1
1995,42-1,3,1
1996,42-1,4,1
1997,42-1,5,1
1998,42-1,6,1
1999,42-1,7,0
2000,42-1,8,1
2001,42-1,9,2
2002,42-1,10,1
2003,42-1,11,1
2004,42-1,12,1
2005,42-1,13,1
2006,42-1,14,1
2007,42-1,15,1
2008,42-1,16,1
2009,42-1,17,2
2010,42-1,18,2
2011,42-1,19,2
2012,42-1,20,1
2013,42-1,21,1
2014,42-1,22,1
2015,42-1,23,1
2016,43-1,0,8
2017,43-1,1,9
2018,43-1,2,9
2019,43-1,3,9
2020,43-1,4,9
2021,43-1,5,9
2022,43-1,6,18
2023,43-1,7,32
2024,43-1,8,61
2025,43-1,9,83
2026,43-1,10,98
2027,43-1,11,103
2028,43-1,12,81
2029,43-1,13,54
2030,43-1,14,42
2031,43-1,15,38
2032,43-1,16,32
2033,43-1,17,33
2034,43-1,18,33
2035,43-1,19,22
2036,43-1,20,9
2037,43-1,21,9
2038,43-1,22,9
2039,43-1,23,9
2040,43-2,0,2
2041,43-2,1,2
2042,43-2,2,2
2043,43-2,3,2
2044,43-2,4,2
2045,43-2,5,2
2046,43-2,6,4
2047,43-2,7,5
2048,43-2,8,6
2049,43-2,9,10
2050,43-2,10,12
2051,43-2,11,11
2052,43-2,12,8
2053,43-2,13,7
2054,43-2,14,5
2055,43-2,15,5
2056,43-2,16,2
2057,43-2,17,2
2058,43-2,18,2
2059,43-2,19,2
2060,43-2,20,2
2061,43-2,21,2
2062,43-2,22,2
2063,43-2,23,2
2064,44-1,0,6
2065,44-1,1,7
2066,44-1,2,7
2067,44-1,3,7
2068,44-1,4,7
2069,44-1,5,7
2070,44-1,6,10
2071,44-1,7,13
2072,44-1,8,16
2073,44-1,9,25
2074,44-1,10,28
2075,44-1,11,29
2076,44-1,12,22
2077,44-1,13,16
2078,44-1,14,13
2079,44-1,15,10
2080,44-1,16,11
2081,44-1,17,12
2082,44-1,18,15
2083,44-1,19,17
2084,44-1,20,16
2085,44-1,21,7
2086,44-1,22,7
2087,44-1,23,7
2088,44-2,0,1
2089,44-2,1,1
2090,44-2,2,1
2091,44-2,3,1
2092,44-2,4,1
2093,44-2,5,1
2094,44-2,6,2
2095,44-2,7,2
2096,44-2,8,1
2097,44-2,9,2
2098,44-2,10,2
2099,44-2,11,1
2100,44-2,12,0
2101,44-2,13,0
2102,44-2,14,0
2103,44-2,15,0
2104,44-2,16,0
2105,44-2,17,1
2106,44-2,18,2
2107,44-2,19,4
2108,44-2,20,4
2109,44-2,21,1
2110,44-2,22,1
2111,44-2,23,1
2112,45-1,0,11
2113,45-1,1,13
2114,45-1,2,13
2115,45-1,3,13
2116,45-1,4,13
2117,45-1,5,13
2118,45-1,6,28
2119,45-1,7,37
2120,45-1,8,38
2121,45-1,9,46
2122,45-1,10,45
2123,45-1,11,42
2124,45-1,12,37
2125,45-1,13,31
2126,45-1,14,25
2127,45-1,15,25
2128,45-1,16,23
2129,45-1,17,22
2130,45-1,18,26
2131,45-1,19,26
2132,45-1,20,23
2133,45-1,21,19
2134,45-1,22,13
2135,45-1,23,13
2136,45-2,0,23
2137,45-2,1,28
2138,45-2,2,28
2139,45-2,3,28
2140,45-2,4,28
2141,45-2,5,28
2142,45-2,6,47
2143,45-2,7,64
2144,45-2,8,73
2145,45-2,9,82
2146,45-2,10,99
2147,45-2,11,94
2148,45-2,12,79
2149,45-2,13,69
2150,45-2,14,52
2151,45-2,15,44
2152,45-2,16,42
2153,45-2,17,41
2154,45-2,18,44
2155,45-2,19,28
2156,45-2,20,28
2157,45-2,21,28
2158,45-2,22,28
2159,45-2,23,28
2160,45-3,0,26
2161,45-3,1,31
2162,45-3,2,31
2163,45-3,3,31
2164,45-3,4,31
2165,45-3,5,31
2166,45-3,6,55
2167,45-3,7,76
2168,45-3,8,83
2169,45-3,9,87
2170,45-3,10,95
2171,45-3,11,90
2172,45-3,12,76
2173,45-3,13,57
2174,45-3,14,42
2175,45-3,15,40
2176,45-3,16,40
2177,45-3,17,46
2178,45-3,18,52
2179,45-3,19,31
2180,45-3,20,31
2181,45-3,21,31
2182,45-3,22,31
2183,45-3,23,31
2184,45-4,0,0
2185,45-4,1,0
2186,45-4,2,0
2187,45-4,3,0
2188,45-4,4,0
2189,45-4,5,0
2190,45-4,6,0
2191,45-4,7,1
2192,45-4,8,1
2193,45-4,9,3
2194,45-4,10,4
2195,45-4,11,2
2196,45-4,12,2
2197,45-4,13,1
2198,45-4,14,0
2199,45-4,15,0
2200,45-4,16,0
2201,45-4,17,0
2202,45-4,18,0
2203,45-4,19,0
2204,45-4,20,0
2205,45-4,21,0
2206,45-4,22,0
2207,45-4,23,0
2208,46-1,0,2
2209,46-1,1,3
2210,46-1,2,3
2211,46-1,3,3
2212,46-1,4,3
2213,46-1,5,3
2214,46-1,6,4
2215,46-1,7,3
2216,46-1,8,6
2217,46-1,9,10
2218,46-1,10,14
2219,46-1,11,17
2220,46-1,12,15
2221,46-1,13,14
2222,46-1,14,17
2223,46-1,15,15
2224,46-1,16,10
2225,46-1,17,11
2226,46-1,18,13
2227,46-1,19,12
2228,46-1,20,10
2229,46-1,21,7
2230,46-1,22,3
2231,46-1,23,3
2232,46-2,0,0
2233,46-2,1,0
2234,46-2,2,0
2235,46-2,3,0
2236,46-2,4,0
2237,46-2,5,0
2238,46-2,6,0
2239,46-2,7,0
2240,46-2,8,0
2241,46-2,9,0
2242,46-2,10,0
2243,46-2,11,0
2244,46-2,12,0
2245,46-2,13,0
2246,46-2,14,0
2247,46-2,15,0
2248,46-2,16,0
2249,46-2,17,0
2250,46-2,18,0
2251,46-2,19,0
2252,46-2,20,0
2253,46-2,21,0
2254,46-2,22,0
2255,46-2,23,0
2256,47-1,0,1
2257,47-1,1,1
2258,47-1,2,1
2259,47-1,3,1
2260,47-1,4,1
2261,47-1,5,1
2262,47-1,6,2
2263,47-1,7,4
2264,47-1,8,5
2265,47-1,9,6
2266,47-1,10,6
2267,47-1,11,8
2268,47-1,12,9
2269,47-1,13,10
2270,47-1,14,11
2271,47-1,15,9
2272,47-1,16,9
2273,47-1,17,11
2274,47-1,18,12
2275,47-1,19,10
2276,47-1,20,9
2277,47-1,21,10
2278,47-1,22,7
2279,47-1,23,1
2280,48-1,0,1
2281,48-1,1,1
2282,48-1,2,1
2283,48-1,3,1
